model,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,n_subjects
Baseline,0.7457875457875457,0.10108142511445312,0.5,0.4253765465303927,0.034014506521388675,0.5,0.6408219985143061,0.0,13
LogisticRegression,0.9322344322344323,0.07644189287439268,0.8685897435897435,0.8566817797587029,0.19913027968085076,0.8685897435897435,0.9200030738492277,0.7295927601809955,13
RandomForest,0.8864468864468864,0.12029263502703151,0.7532051282051282,0.7483951945490406,0.24233624490806185,0.7532051282051282,0.8591869668792745,0.5270509541609285,13
XGBoost,0.7586080586080587,0.10077898809830713,0.532051282051282,0.4713971925510387,0.11405996342859069,0.532051282051282,0.6747880324803401,0.057971014492753624,13
bilstm_fusion,0.9304029304029304,0.07864446969446766,0.8782051282051282,0.859811982888906,0.1982766130414482,0.8782051282051282,0.9198698737160276,0.7356259426847662,13
cnn1d_fusion,0.9084249084249085,0.0956568935994601,0.8352564102564102,0.8281408762177993,0.19852321786865812,0.8352564102564102,0.8949540488002026,0.6732923938806292,13
conformer_fusion,0.9040293040293041,0.0805509691519337,0.8160256410256411,0.8036903267672498,0.21575281393447415,0.8160256410256411,0.8851268389729927,0.6313467213486886,13
tiny_tcn_fusion,0.8846153846153846,0.13428168751918548,0.8435897435897436,0.8062266793036024,0.21394518419824812,0.8435897435897436,0.8785297323758863,0.6349791385085504,13
