accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa,n_test,subject,model
1.0,1.0,1.0,1.0,1.0,1.0,6,P19,bilstm_fusion
1.0,1.0,1.0,1.0,1.0,1.0,6,P19,cnn1d_fusion
1.0,1.0,1.0,1.0,1.0,1.0,6,P19,tiny_tcn_fusion
0.7142857142857143,0.5,0.4166666666666667,0.5,0.5952380952380952,0.0,7,P20,Baseline
0.8571428571428571,0.75,0.7878787878787878,0.75,0.8398268398268397,0.588235294117647,7,P20,RandomForest
0.8571428571428571,0.75,0.7878787878787878,0.75,0.8398268398268397,0.588235294117647,7,P20,LogisticRegression
0.7142857142857143,0.5,0.4166666666666667,0.5,0.5952380952380952,0.0,7,P20,XGBoost
1.0,1.0,1.0,1.0,1.0,1.0,7,P20,conformer_fusion
1.0,1.0,1.0,1.0,1.0,1.0,7,P20,bilstm_fusion
0.7142857142857143,0.65,0.65,0.65,0.7142857142857143,0.30000000000000004,7,P20,cnn1d_fusion
0.8571428571428571,0.75,0.7878787878787878,0.75,0.8398268398268397,0.588235294117647,7,P20,tiny_tcn_fusion
0.5714285714285714,0.5,0.36363636363636365,0.5,0.4155844155844156,0.0,7,P23,Baseline
0.5714285714285714,0.5416666666666666,0.5333333333333333,0.5416666666666666,0.5523809523809524,0.08695652173913038,7,P23,RandomForest
0.8571428571428571,0.875,0.8571428571428571,0.875,0.8571428571428571,0.72,7,P23,LogisticRegression
0.5714285714285714,0.5416666666666666,0.5333333333333333,0.5416666666666666,0.5523809523809524,0.08695652173913038,7,P23,XGBoost
0.8571428571428571,0.875,0.8571428571428571,0.875,0.8571428571428571,0.72,7,P23,conformer_fusion
0.8571428571428571,0.875,0.8571428571428571,0.875,0.8571428571428571,0.72,7,P23,bilstm_fusion
0.8571428571428571,0.875,0.8571428571428571,0.875,0.8571428571428571,0.72,7,P23,cnn1d_fusion
0.7142857142857143,0.75,0.7083333333333333,0.75,0.7023809523809523,0.46153846153846156,7,P23,tiny_tcn_fusion
0.7142857142857143,0.5,0.4166666666666667,0.5,0.5952380952380952,0.0,7,P24,Baseline
