,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.2810172617691415,0.39233080239635554,0.30476190476190473,0.25219311744156464,0.38811879480959666,0.30476190476190473,0.24499365550362606,,0.24285714285714285,0.25,0.09770114942528736,0.0,70.0
RandomForest,0.505896640953032,0.32978887921961586,0.506696755625327,0.4114415445665446,0.3504431849608769,0.3871701116343973,0.5735183211485575,,0.4714285714285714,0.45039048227986844,0.4612863499126013,0.2791539103812969,70.0
LogisticRegression,0.29911966062342,0.23815602749883547,0.305164726146869,0.1977712234855092,0.17427355424036514,0.17607459009244722,0.36972480812142466,0.06433923983658935,0.22857142857142856,0.22133608878333944,0.22881274131274132,-0.016402258671685876,70.0
XGBoost,0.5030420477600929,0.3181909277143723,0.5064536455607884,0.40500070541036925,0.3286727782621275,0.37984083376940514,0.5720933114627276,,0.5142857142857142,0.5134727804165145,0.5168163489736071,0.349015317286652,70.0
TinyTCN,0.34877949744491094,0.3649853340379523,0.34972581981510553,0.28673563539634966,0.3551880735376679,0.2935112506541079,0.3622675956736107,,0.3,0.33187568505663134,0.29368686868686866,0.09066808059384945,70.0
