model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,auc_ovr_mean,auc_ovr_std,n_folds
CatBoostClassifier,0.9633406271999748,0.056002622004724986,0.9455281389341097,0.08964221604019977,0.9514829541097657,0.09057819833950263,0.9462349891118006,0.08451528954590382,0.9934997434774379,0.020389320536618433,15
TorchBiLSTMAttention,0.9092094543120787,0.07522692294876931,0.8673682866241752,0.11062772890625015,0.8965986456828489,0.09878465216598409,0.8692531801828143,0.1045529268058296,0.9826704151183822,0.024539387439629985,15
TorchTemporalConvNet,0.9109334558194065,0.05866216171471632,0.8654868260920545,0.07970024867322613,0.9025127191280689,0.07518146762287166,0.8647461256572623,0.07222749202153739,0.9808263662956563,0.026712304216734775,15
RandomForest,0.910877141973668,0.059402312410249014,0.8401768405542639,0.11637156582096642,0.8692635995823023,0.1260983256716942,0.845622624423349,0.1009469647899515,0.983184062748754,0.027262897518755217,15
TorchTransformer,0.8977502011861189,0.06423907678036503,0.8383581935897213,0.11012182845393342,0.8552203033857367,0.11973737796207105,0.843968639568754,0.10041093892349226,0.9736632124283796,0.036052429804404255,15
LogisticRegression,0.8553977932440112,0.1045312661588826,0.8011656790590784,0.13776875594461366,0.8222512731531328,0.12809995186658643,0.8060654025819931,0.13522720007175243,0.9531274395961449,0.0516826888303361,15
