participant,mae_valence,mae_arousal,mae_mean,rmse_valence,rmse_arousal,rmse_mean,r2_valence,r2_arousal,r2_mean,n_test,model
S10,0.9340447878483831,1.3298279232576182,1.1319363555530007,1.1570047126362686,1.6231802997088371,1.3900925061725529,0.4293698596589346,0.6190804808779744,0.5242251702684545,103,MLPRegressor
S11,0.9124965377700403,0.8135836024807483,0.8630400701253943,1.2296459352533986,1.0362367603622409,1.1329413478078196,0.013489000373725912,0.5986752871658285,0.3060821437697772,102,MLPRegressor
S13,2.0302539589710857,1.5989112959329492,1.8145826274520176,2.631566844855553,2.033517838485056,2.3325423416703046,-1.0529176769216742,0.400758176845994,-0.32607975003784007,102,MLPRegressor
S14,2.2047795643358485,1.2814570358969117,1.7431183001163801,2.4939857324711006,1.6170993940366563,2.055542563253878,-2.246664365369104,0.3544379099322448,-0.9461132277184295,102,MLPRegressor
S15,2.2921701312818348,3.110721757717939,2.701445944499887,2.582111429664687,4.30167055906859,3.4418909943666387,-5.949434600614584,-9.023200199326965,-7.486317399970774,78,MLPRegressor
S16,0.8251434192504142,1.100000310366314,0.9625718648083641,1.115208820072058,1.486769957571587,1.3009893888218225,0.5971973407827047,0.6618363330143924,0.6295168368985485,99,MLPRegressor
S17,1.5542880854947936,1.181333859386604,1.3678109724406988,2.177948847186125,1.7840966055024214,1.9810227263442732,0.29450574380400796,0.6438640465264431,0.46918489516522555,100,MLPRegressor
S2,1.4228612662114877,1.928815856813966,1.6758385615127267,1.7265597497245373,2.4004284834059617,2.0634941165652494,-2.3036285444087765,-5.385656135975503,-3.8446423401921397,96,MLPRegressor
S3,1.5533576788855739,1.8291801806411605,1.6912689297633672,2.0063088020667283,2.0774529752791677,2.041880888672948,-9.68573140998469,-1.0557573037970394,-5.370744356890865,99,MLPRegressor
S4,1.6614287810604182,1.7554744682453534,1.7084516246528858,1.7684178159014494,2.482822893863556,2.1256203548825026,-1.3326242544314009,0.11156141215231852,-0.6105314211395412,99,MLPRegressor
S5,0.8004439435264562,1.3129965619954602,1.0567202527609583,1.0436085117082554,1.7666722100546577,1.4051403608814566,-0.6553388587552027,0.5712775820028033,-0.04203063837619969,99,MLPRegressor
S6,1.6380490161579466,1.4601795165213984,1.5491142663396724,1.950638290880862,1.8359238970184903,1.893281093949676,-3.2806134595819367,-7.818850203380279,-5.5497318314811075,99,MLPRegressor
S7,0.9263322350406806,1.0491567981439356,0.9877445165923081,1.1441988138611505,1.527042184570184,1.3356204992156673,-6.833565483644703,0.5863431922948257,-3.1236111456749387,99,MLPRegressor
S8,1.160983340893363,1.0304956286762217,1.0957394847847923,1.5035849508504031,1.4061523656458308,1.454868658248117,-2.267477532047708,0.35248085033685905,-0.9574983408554245,100,MLPRegressor
S9,1.902904947119542,1.5093866616986273,1.7061458044090847,2.4064342669421945,1.9784842009668366,2.1924592339545157,-11.221547063047922,-4.623722044531253,-7.922634553789587,99,MLPRegressor
