participant,mae_valence,mae_arousal,mae_mean,rmse_valence,rmse_arousal,rmse_mean,r2_valence,r2_arousal,r2_mean,n_test,model
S10,1.0198579812300077,1.5244706535609405,1.272164317395474,1.3863107520891091,1.7353305066637357,1.5608206293764224,0.18077040212529472,0.5646243814457843,0.3726973917855395,103,GradientBoostingRegressor
S11,0.7653890823411342,0.782161057580247,0.7737750699606907,0.9006743181878134,0.9788923190453951,0.9397833186166042,0.4707299319703485,0.6418641839111872,0.5562970579407678,102,GradientBoostingRegressor
S13,1.8181847502827602,1.4877375060161218,1.652961128149441,2.1309741349870386,1.891383211762351,2.011178673374695,-0.3461674307182301,0.4815997487196295,0.06771615900069972,102,GradientBoostingRegressor
S14,1.6651192185129045,0.7742103040251059,1.2196647612690052,1.8816337878019003,1.1494695819123764,1.5155516848571384,-0.8480753352088075,0.6738183265329862,-0.08712850433791064,102,GradientBoostingRegressor
S15,0.7330040302233441,2.5563905487503193,1.6446972894868317,0.870122722655156,2.883213781973602,1.876668252314379,0.21084823483068027,-3.5028325943046985,-1.6459921797370092,78,GradientBoostingRegressor
S16,0.5641017303689502,0.9532565168338545,0.7586791236014023,0.7514062173773429,1.2977249822028853,1.0245655997901142,0.8171354564137894,0.7423650838023378,0.7797502701080636,99,GradientBoostingRegressor
S17,1.2581294659786122,0.7777043734482553,1.0179169197134337,1.67631246481962,1.1540141304776335,1.4151632976486268,0.5820656374993114,0.8509948293342678,0.7165302334167896,100,GradientBoostingRegressor
S2,0.8523534520658304,1.223499419393186,1.0379264357295082,1.1270887000917522,1.489308374178577,1.3081985371351648,-0.4078104246574723,-1.4580869911255396,-0.932948707891506,96,GradientBoostingRegressor
S3,0.6698821687840557,1.7983553320186207,1.2341187504013382,0.7861190607838505,2.0304264158635816,1.4082727383237161,-0.6405344325322384,-0.9637398254154941,-0.8021371289738662,99,GradientBoostingRegressor
S4,1.0214416473422336,1.6622874161207277,1.3418645317314808,1.1986127871828423,2.2853221462857576,1.7419674667343,-0.07160032617018053,0.2472846250530425,0.08784214944143098,99,GradientBoostingRegressor
S5,0.5911265379054439,1.180457560239605,0.8857920490725244,0.7103747421881681,1.6106364871009677,1.1605056146445678,0.2330152871527299,0.6436643246582178,0.43833980590547383,99,GradientBoostingRegressor
S6,1.4355805308651979,1.7999843573716898,1.6177824441184439,1.596721483042468,2.20026786624915,1.898494674645809,-1.8682094312105062,-11.666415449684832,-6.767312440447669,99,GradientBoostingRegressor
S7,0.47338774758075375,1.0628951253685324,0.7681414364746431,0.5955552742914263,1.5201483817408876,1.0578518280161568,-1.12227003449379,0.590069653290588,-0.26610019060160095,99,GradientBoostingRegressor
S8,0.682745362136602,1.0809798363275351,0.8818625992320686,0.8554592349051348,1.3755589706538554,1.115509102779495,-0.05768247230015677,0.38035024831467956,0.1613338880072614,100,GradientBoostingRegressor
S9,1.5567651552670971,1.3784745036709338,1.4676198294690155,1.8290378606391156,1.8791300981648675,1.8540839794019917,-6.0603067262873624,-4.073087716659491,-5.066697221473427,99,GradientBoostingRegressor
