subject,accuracy,macro_f1,weighted_f1,cohen_kappa
100,0.5263157894736842,0.28846153846153844,0.5245164192532613,0.07233273056057865
101,0.38461538461538464,0.3857832988267771,0.34344640866379994,0.19535783365570591
103,0.3333333333333333,0.25,0.16666666666666666,0.0
104,0.5208333333333334,0.24189784806844697,0.4927620776078126,0.019102621057307756
106,0.48,0.3505900621118012,0.47477267080745333,0.20440636474908214
108,0.13636363636363635,0.13468013468013468,0.12029384756657482,-0.2941176470588234
109,0.45454545454545453,0.3599620493358634,0.45980104651831405,0.2111553784860557
110,0.48717948717948717,0.24358974358974358,0.5246548323471399,0.06921241050119342
112,0.2692307692307692,0.23148148148148148,0.2948717948717948,0.057251908396946494
113,0.40540540540540543,0.15625,0.30405405405405406,-0.04225352112676051
