model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,auc_ovr_mean,auc_ovr_std,n_folds
TorchBiLSTMAttention,0.7641247108019691,0.253061014697506,0.644920121587114,0.3273515046824183,0.6521012650908332,0.33327691642221147,0.666802925989673,0.3147876463306863,0.9012629822322532,0.11378823486753,83
TorchTemporalConvNet,0.7295905102214612,0.21574443102919155,0.5337106620064226,0.2834893895022953,0.5865484682974776,0.2759742823754086,0.5266137080710362,0.2880129922956866,0.8536340483120409,0.11787482535081266,83
TorchTransformer,0.6674867547645044,0.28274440145235236,0.5176064704272465,0.30606680352905247,0.5513585258592576,0.3150600992876277,0.5239114981228171,0.3023603324188614,0.796683503020303,0.1848496956719679,83
RandomForest,0.6301193790260643,0.19568191329865237,0.4196049556487591,0.2564553089218185,0.40425127306670056,0.2868496114374733,0.5004846376057537,0.22629230340576312,0.6106135924378264,0.18021455648596152,83
CatBoostClassifier,0.4798564802026566,0.15805955106663197,0.26398654609154387,0.11707163760709337,0.34128197617934697,0.12648052540249474,0.23812277604221585,0.120683324964381,0.6479010457532798,0.16225220777438695,83
LogisticRegression,0.302452199795156,0.15999706481631942,0.18808030052323815,0.11308520987783244,0.2849885990849847,0.13510680406008688,0.16380921261382234,0.11922831385527254,0.6285294051944057,0.11593779647506344,83
