subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8737864077669902,0.6616915422885572,0.6299788881069669,0.6616915422885572,0.8204204614554225,0.7200501777127326
S11,0.8627450980392157,0.6616161616161617,0.6342592592592592,0.6616161616161617,0.8096405228758171,0.6970725498515062
S13,0.9215686274509803,0.7948717948717948,0.8330725091288471,0.7948717948717948,0.9063487679891988,0.831055900621118
S14,0.8529411764705882,0.6363636363636364,0.5732884399551067,0.6363636363636364,0.8088598402323893,0.7005284791544333
S15,0.900990099009901,0.7547380156075808,0.7858246735944577,0.7547380156075808,0.8817627086449651,0.7904564315352697
S16,0.8787878787878788,0.6893162393162392,0.6711113083220553,0.6893162393162392,0.838787448509455,0.738728832197053
S17,0.91,0.7725694444444443,0.7780770824699544,0.7725694444444443,0.8970658930791546,0.8244929797191888
S2,0.6875,0.8201058201058201,0.6935286935286936,0.8201058201058201,0.7243589743589745,0.5270935960591133
S3,0.98989898989899,0.9743589743589745,0.9840826873385012,0.9743589743589745,0.9897361208989116,0.9802039592081584
S4,0.898989898989899,0.7222222222222223,0.738430583501006,0.7222222222222223,0.8664715566124017,0.7708333333333334
S5,0.8383838383838383,0.6464646464646465,0.6208194905869324,0.6464646464646465,0.7976643511527232,0.6415478615071284
S6,0.9797979797979798,0.9670940170940171,0.972971633841199,0.9670940170940171,0.9796906260674376,0.959902794653706
S7,0.8383838383838383,0.6512820512820513,0.6285714285714286,0.6512820512820513,0.7936507936507936,0.6437246963562753
S8,0.61,0.5094760312151617,0.4833488951136011,0.5094760312151617,0.6158636788048553,0.30319814186171157
S9,0.7878787878787878,0.5346320346320347,0.4961477626409511,0.5346320346320347,0.7408448482993102,0.5314401622718052
