model,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,n_folds
Transformer,0.7933415465989293,0.1963634721916943,0.8118334291538025,0.17456403026237072,0.80486589032811,0.1943933192735979,0.8311283018866946,0.1708662018407945,0.8251627722738339,0.23158541970685245,25
RandomForest,0.7213043730058039,0.1226105415834222,0.753292933976943,0.11217691168177288,0.7102800900663919,0.11942555188884069,0.8078193582293945,0.12213987432377355,0.7921795169497237,0.1266450763828266,25
MLP,0.7103612320594993,0.1261858674164379,0.7349985149284864,0.12193957259482036,0.7112947487120654,0.12719274814442577,0.7665961288179289,0.13351140091276348,0.785279193017392,0.1357586520236892,25
SVM,0.7155632139889703,0.11385645251260956,0.7346897092497691,0.11199588081550511,0.7235781277879992,0.11657800701447663,0.7530251428346546,0.12588565943153382,0.7831346182332745,0.13143229547140756,25
GradientBoosting,0.7143196860993684,0.12496833480073467,0.7348907080062348,0.12556501529413322,0.7135682218537233,0.1203469402251293,0.7625188705265136,0.14630851938260586,0.7759645510407713,0.13308931991390624,25
LogisticRegression,0.7029797794378772,0.12651474125564932,0.7177859094687012,0.12789609113413047,0.713966456226034,0.12829718955058866,0.7243101348449811,0.1352419354223548,0.7634746502125715,0.1387810296930567,25
