target,model,macro_f1,macro_f1_std,balanced_acc,kappa,session_f1
valence,bilstm_fusion,0.5070627319747415,0.1359783116237173,0.5666259670197364,0.0951244327439189,0.52
arousal,conformer_fusion,0.5378707682091723,0.1138100618099164,0.6067838922995321,0.1487973307495697,0.5752545682800948
stress,RandomForest,0.677467389874968,0.1479349917684493,0.7120020358161668,0.3834663441171093,0.7214131218457102
quadrant,XGBoost,0.3094518889504457,0.1339890991595095,0.4126777693715675,0.0447935664129461,0.2343876723438767
