participant,mae_valence,mae_arousal,mae_mean,rmse_valence,rmse_arousal,rmse_mean,r2_valence,r2_arousal,r2_mean,n_test,model
S10,0.6957114709325949,1.2541305991677363,0.9749210350501656,0.9116437383503737,1.4082496213783664,1.15994667986437,0.6457296894531671,0.7132793401187592,0.6795045147859631,103,SVR
S11,0.9379833381003302,0.6823907935988537,0.810187065849592,1.0654185346688643,0.8267283786068605,0.9460734566378624,0.2594024508344004,0.7445513538102229,0.5019769023223116,102,SVR
S13,1.8870183688948199,1.4181150784467276,1.6525667236707737,2.2567021957467843,1.9801369231760466,2.1184195594614152,-0.509701981485071,0.4318060727348819,-0.03894795437509452,102,SVR
S14,1.7036598754492314,1.149391289441447,1.4265255824453393,1.912468285401365,1.3859571548102114,1.6492127201057882,-0.9091407557444038,0.5257971062873982,-0.1916718247285028,102,SVR
S15,1.2165987249491377,2.7375406837603764,1.977069704354757,1.6385412738647487,3.2084525300943056,2.423496901979527,-1.7984289373765945,-4.576007470512133,-3.1872182039443637,78,SVR
S16,0.6969724102439532,0.8582399642940726,0.7776061872690129,0.8825978166877413,1.1804429876322093,1.0315204021599753,0.7477067475861638,0.7868283613629963,0.7672675544745801,99,SVR
S17,1.3854430884130644,1.1803457589191548,1.2828944236661095,1.9246947437574693,1.6627119025157209,1.793703323136595,0.449037739210002,0.6906763705281678,0.5698570548690849,100,SVR
S2,0.9264186237747513,1.5367241408350483,1.2315713823048997,1.1661012644545,1.8641955875402434,1.5151484259973715,-0.5069558125297409,-2.8513318107478582,-1.6791438116387996,96,SVR
S3,0.8897689425308117,1.750925313679115,1.3203471281049635,1.0215081970242974,1.982379510967056,1.5019438539956766,-1.770080619056699,-0.8719016999633036,-1.3209911595100012,99,SVR
S4,0.9729172617833967,1.7135628910799106,1.3432400764316537,1.1803241322334563,2.445908406328196,1.8131162692808263,-0.0391484569982663,0.13778353915987085,0.049317541080802274,99,SVR
S5,0.46114943938300146,1.4596203320980359,0.9603848857405186,0.5774996723387852,1.9351067630314802,1.2563032176851328,0.49310831246409037,0.48563181347936957,0.48937006297172997,99,SVR
S6,1.3180934083890687,1.6281427896627334,1.4731180990259012,1.5189897210011525,1.998786948604512,1.7588883348028324,-1.5957459940705543,-9.452871851361696,-5.524308922716125,99,SVR
S7,0.5667601313055988,1.1886625955010461,0.8777113634033225,0.6990163075697697,1.7306133897610163,1.2148148486653931,-1.9236885510581812,0.46870194515942165,-0.7274933029493797,99,SVR
S8,0.48436347639257554,0.8774653948026615,0.6809144355976186,0.6545161953178346,1.2534397903351138,0.9539779928264742,0.38084773820879636,0.48548883023469525,0.4331682842217458,100,SVR
S9,1.6891191493313604,1.2322498816452772,1.4606845154883188,1.9568905297730756,1.8051842256047004,1.881037377688888,-7.081858476872931,-3.6816800873841062,-5.381769282128518,99,SVR
