participant,mae_valence,mae_arousal,mae_mean,rmse_valence,rmse_arousal,rmse_mean,r2_valence,r2_arousal,r2_mean,n_test,model
S10,1.3155442476272583,0.8918651938438416,1.10370472073555,1.4627057965891461,1.167327296452913,1.3150165465210297,0.08799272775650024,0.8029915690422058,0.445492148399353,103,TorchTransformerRegressor
S11,0.8355122208595276,0.8046051263809204,0.820058673620224,0.9282153358552081,0.9570995072916453,0.9426574215734267,0.437866747379303,0.6576328873634338,0.5477498173713684,102,TorchTransformerRegressor
S13,2.025197744369507,1.369088888168335,1.697143316268921,2.462851225305642,1.8293299820042561,2.146090603654949,-0.7981213331222534,0.5150575637817383,-0.14153188467025757,102,TorchTransformerRegressor
S14,1.7622753381729126,0.7730513215065002,1.2676633298397064,2.0035045436791425,0.9743617169329363,1.4889331303060394,-1.0952224731445312,0.765628457069397,-0.16479700803756714,102,TorchTransformerRegressor
S15,1.2157198190689087,2.6044230461120605,1.9100714325904846,1.4297617074854294,2.8809758980672053,2.1553688027763176,-1.1307225227355957,-3.495845317840576,-2.313283920288086,78,TorchTransformerRegressor
S16,0.42342609167099,0.8749920725822449,0.6492090821266174,0.6630964320480159,1.0207752224218554,0.8419358272349357,0.8575923442840576,0.8405958414077759,0.8490940928459167,99,TorchTransformerRegressor
S17,1.2435600757598877,1.0657594203948975,1.1546597480773926,1.9428521956152398,1.4555525652698607,1.6992023804425502,0.43859314918518066,0.7629527449607849,0.6007729470729828,100,TorchTransformerRegressor
S2,0.6191444993019104,1.057464599609375,0.8383045494556427,0.9391366024897476,1.3732602210088982,1.156198411749323,0.022570312023162842,-1.0899391174316406,-0.5336844027042389,96,TorchTransformerRegressor
S3,0.5782188773155212,1.3746241331100464,0.9764215052127838,0.7416134672337131,1.5140874870450893,1.1278504771394013,-0.46003711223602295,-0.091971755027771,-0.276004433631897,99,TorchTransformerRegressor
S4,1.1298279762268066,1.697962760925293,1.4138953685760498,1.491531227754246,2.4238943233871577,1.9577127755707018,-0.6593565940856934,0.15323400497436523,-0.25306129455566406,99,TorchTransformerRegressor
S5,0.6037123799324036,1.4083704948425293,1.0060414373874664,0.7951750481021953,1.732690560235701,1.2639328041689482,0.03896939754486084,0.5876117944717407,0.3132905960083008,99,TorchTransformerRegressor
S6,1.1232606172561646,1.8569161891937256,1.490088403224945,1.3254576882221523,2.3078977823480593,1.8166777352851058,-0.976442813873291,-12.935924530029297,-6.956183671951294,99,TorchTransformerRegressor
S7,0.2417135089635849,1.1375623941421509,0.6896379515528679,0.4661691986564627,1.8232463066328335,1.144707752644648,-0.30030012130737305,0.41030311584472656,0.05500149726867676,99,TorchTransformerRegressor
S8,0.30146414041519165,0.35264521837234497,0.3270546793937683,0.4449273166876329,0.5111449424228506,0.4780361295552418,0.7138887643814087,0.9144389629364014,0.814163863658905,100,TorchTransformerRegressor
S9,0.6856465339660645,0.7738579511642456,0.729752242565155,0.9169563392075153,1.2448599037184322,1.0809081214629739,-0.7744978666305542,-1.226381778717041,-1.0004398226737976,99,TorchTransformerRegressor
