model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,n_folds
TorchTransformerRegressor,1.0715804293751716,0.42758301616406336,1.3743485946723728,0.4925377706792067,-0.5342280983924865,1.9507563829796586,15
GradientBoostingRegressor,1.1716644457203533,0.32582052843508197,1.459241026510612,0.35614906380679645,-0.8258539611904642,2.193158079820245,15
SVR,1.2166495072268628,0.3638087608428062,1.534506890952542,0.44055524326887274,-0.9707388364843046,2.116154162464865,15
RandomForestRegressor,1.188804086862628,0.3575906090292455,1.4930812662290498,0.3992036399581877,-1.0555063277778574,2.4381380976130664,15
TorchMLPRegressor,1.3437801241581382,0.4262860318208267,1.7127772833939985,0.48587595944361933,-1.7129461439025764,2.612133750431703,15
Ridge,1.2997250251169428,0.3638343686962632,1.6756559388914276,0.47509706790166945,-1.726046387758637,2.901566458544325,15
MLPRegressor,1.4703686383874361,0.4791402370605003,1.8764924716538283,0.5818126213073643,-2.2833950640016565,3.0244838001293655,15
