accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa,n_test,subject,model
0.42857142857142855,0.3333333333333333,0.19999999999999998,0.3333333333333333,0.2571428571428571,0.0,7,P01,Baseline
0.8571428571428571,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.7959183673469388,0.75,7,P01,RandomForest
0.7142857142857143,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.7142857142857143,0.5333333333333333,7,P01,LogisticRegression
0.8571428571428571,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.7959183673469388,0.75,7,P01,XGBoost
0.7142857142857143,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.7142857142857143,0.5333333333333333,7,P01,conformer_fusion
0.7142857142857143,0.5555555555555555,0.5523809523809523,0.5555555555555555,0.710204081632653,0.5333333333333333,7,P01,bilstm_fusion
0.7142857142857143,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.7142857142857143,0.5333333333333333,7,P01,cnn1d_fusion
0.7142857142857143,0.5555555555555555,0.5523809523809523,0.5555555555555555,0.710204081632653,0.5333333333333333,7,P01,tiny_tcn_fusion
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P02,Baseline
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P02,RandomForest
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P02,LogisticRegression
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P02,conformer_fusion
1.0,1.0,1.0,1.0,1.0,1.0,7,P02,bilstm_fusion
1.0,1.0,1.0,1.0,1.0,1.0,7,P02,cnn1d_fusion
1.0,1.0,1.0,1.0,1.0,1.0,7,P02,tiny_tcn_fusion
0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0,6,P03,Baseline
0.8333333333333334,0.75,0.7777777777777777,0.75,0.8148148148148148,0.5714285714285714,6,P03,RandomForest
1.0,1.0,1.0,1.0,1.0,1.0,6,P03,LogisticRegression
0.8333333333333334,0.75,0.7777777777777777,0.75,0.8148148148148148,0.5714285714285714,6,P03,conformer_fusion
1.0,1.0,1.0,1.0,1.0,1.0,6,P03,bilstm_fusion
1.0,1.0,1.0,1.0,1.0,1.0,6,P03,cnn1d_fusion
1.0,1.0,1.0,1.0,1.0,1.0,6,P03,tiny_tcn_fusion
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P04,Baseline
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P04,RandomForest
0.6666666666666666,0.4,0.4,0.4,0.6666666666666666,-0.19999999999999996,6,P04,LogisticRegression
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P04,conformer_fusion
0.8333333333333334,0.9,0.7777777777777777,0.9,0.851851851851852,0.5714285714285714,6,P04,bilstm_fusion
0.6666666666666666,0.4,0.4,0.4,0.6666666666666666,-0.19999999999999996,6,P04,cnn1d_fusion
0.6666666666666666,0.4,0.4,0.4,0.6666666666666666,-0.19999999999999996,6,P04,tiny_tcn_fusion
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P07,Baseline
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P07,RandomForest
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P07,LogisticRegression
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P07,conformer_fusion
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P07,bilstm_fusion
1.0,1.0,1.0,1.0,1.0,1.0,7,P07,cnn1d_fusion
1.0,1.0,1.0,1.0,1.0,1.0,7,P07,tiny_tcn_fusion
0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0,6,P09,Baseline
0.6666666666666666,0.625,0.625,0.625,0.6666666666666666,0.25,6,P09,RandomForest
0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667,6,P09,LogisticRegression
0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667,6,P09,conformer_fusion
0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667,6,P09,bilstm_fusion
0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667,6,P09,cnn1d_fusion
0.8333333333333334,0.75,0.7777777777777777,0.75,0.8148148148148148,0.5714285714285714,6,P09,tiny_tcn_fusion
0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0,6,P10,Baseline
0.8333333333333334,0.75,0.7777777777777777,0.75,0.8148148148148148,0.5714285714285714,6,P10,RandomForest
0.8333333333333334,0.75,0.7777777777777777,0.75,0.8148148148148148,0.5714285714285714,6,P10,LogisticRegression
0.8333333333333334,0.75,0.7777777777777777,0.75,0.8148148148148148,0.5714285714285714,6,P10,conformer_fusion
0.6666666666666666,0.625,0.625,0.625,0.6666666666666666,0.25,6,P10,bilstm_fusion
0.6666666666666666,0.625,0.625,0.625,0.6666666666666666,0.25,6,P10,cnn1d_fusion
0.3333333333333333,0.375,0.3333333333333333,0.375,0.3333333333333333,-0.20000000000000018,6,P10,tiny_tcn_fusion
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P11,Baseline
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P11,RandomForest
0.6666666666666666,0.4,0.4,0.4,0.6666666666666666,-0.19999999999999996,6,P11,LogisticRegression
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P11,conformer_fusion
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P11,bilstm_fusion
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P11,cnn1d_fusion
0.8333333333333334,0.5,0.45454545454545453,0.5,0.7575757575757575,0.0,6,P11,tiny_tcn_fusion
0.5,0.25,0.16666666666666666,0.25,0.3333333333333333,0.0,6,P12,Baseline
0.6666666666666666,0.5,0.375,0.5,0.5833333333333334,0.5,6,P12,RandomForest
0.8333333333333334,0.75,0.6666666666666666,0.75,0.7777777777777777,0.75,6,P12,LogisticRegression
0.8333333333333334,0.75,0.7142857142857143,0.75,0.7619047619047619,0.7272727272727273,6,P12,XGBoost
0.8333333333333334,0.75,0.6666666666666666,0.75,0.7777777777777777,0.75,6,P12,conformer_fusion
1.0,1.0,1.0,1.0,1.0,1.0,6,P12,bilstm_fusion
1.0,1.0,1.0,1.0,1.0,1.0,6,P12,cnn1d_fusion
0.8333333333333334,0.75,0.6666666666666666,0.75,0.7777777777777777,0.75,6,P12,tiny_tcn_fusion
0.6,0.5,0.375,0.5,0.45,0.0,5,P13,Baseline
1.0,1.0,1.0,1.0,1.0,1.0,5,P13,RandomForest
1.0,1.0,1.0,1.0,1.0,1.0,5,P13,LogisticRegression
1.0,1.0,1.0,1.0,1.0,1.0,5,P13,conformer_fusion
1.0,1.0,1.0,1.0,1.0,1.0,5,P13,bilstm_fusion
1.0,1.0,1.0,1.0,1.0,1.0,5,P13,cnn1d_fusion
1.0,1.0,1.0,1.0,1.0,1.0,5,P13,tiny_tcn_fusion
0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0,6,P14,Baseline
0.5,0.5,0.4857142857142857,0.5,0.48571428571428577,0.0,6,P14,RandomForest
0.5,0.5,0.4857142857142857,0.5,0.48571428571428577,0.0,6,P14,LogisticRegression
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,6,P14,conformer_fusion
0.5,0.5,0.4857142857142857,0.5,0.48571428571428577,0.0,6,P14,bilstm_fusion
0.5,0.5,0.4857142857142857,0.5,0.48571428571428577,0.0,6,P14,cnn1d_fusion
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,6,P14,tiny_tcn_fusion
0.6666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5333333333333333,0.0,6,P15,Baseline
0.6666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5333333333333333,0.0,6,P15,RandomForest
0.6666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5333333333333333,0.0,6,P15,LogisticRegression
0.6666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5333333333333333,0.0,6,P15,conformer_fusion
0.6666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5333333333333333,0.0,6,P15,bilstm_fusion
0.6666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5333333333333333,0.0,6,P15,cnn1d_fusion
0.6666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.5333333333333333,0.0,6,P15,tiny_tcn_fusion
0.6666666666666666,0.5,0.4,0.5,0.5333333333333333,0.0,6,P16,Baseline
0.8333333333333334,0.75,0.7777777777777777,0.75,0.8148148148148148,0.5714285714285714,6,P16,RandomForest
0.8333333333333334,0.75,0.7777777777777777,0.75,0.8148148148148148,0.5714285714285714,6,P16,LogisticRegression
0.8333333333333334,0.75,0.7777777777777777,0.75,0.8148148148148148,0.5714285714285714,6,P16,conformer_fusion
0.8333333333333334,0.75,0.7777777777777777,0.75,0.8148148148148148,0.5714285714285714,6,P16,bilstm_fusion
0.8333333333333334,0.75,0.7777777777777777,0.75,0.8148148148148148,0.5714285714285714,6,P16,cnn1d_fusion
0.8333333333333334,0.75,0.7777777777777777,0.75,0.8148148148148148,0.5714285714285714,6,P16,tiny_tcn_fusion
0.5,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,6,P18,Baseline
0.6666666666666666,0.5555555555555555,0.48888888888888893,0.5555555555555555,0.6,0.4285714285714286,6,P18,RandomForest
0.8333333333333334,0.8888888888888888,0.8666666666666667,0.8888888888888888,0.8333333333333334,0.7391304347826086,6,P18,LogisticRegression
0.6666666666666666,0.5,0.47222222222222215,0.5,0.5972222222222222,0.368421052631579,6,P18,conformer_fusion
0.8333333333333334,0.8888888888888888,0.8666666666666667,0.8888888888888888,0.8333333333333334,0.7391304347826086,6,P18,bilstm_fusion
0.8333333333333334,0.8888888888888888,0.8666666666666667,0.8888888888888888,0.8333333333333334,0.7391304347826086,6,P18,cnn1d_fusion
0.8333333333333334,0.8888888888888888,0.8666666666666667,0.8888888888888888,0.8333333333333334,0.7391304347826086,6,P18,tiny_tcn_fusion
0.5,0.25,0.16666666666666666,0.25,0.3333333333333333,0.0,6,P19,Baseline
0.16666666666666666,0.08333333333333333,0.07142857142857142,0.08333333333333333,0.14285714285714285,-0.36363636363636376,6,P19,RandomForest
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,6,P19,LogisticRegression
0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,-0.2500000000000002,6,P19,XGBoost
0.5,0.41666666666666663,0.39285714285714285,0.41666666666666663,0.4523809523809524,0.18181818181818188,6,P19,conformer_fusion
0.5,0.5833333333333334,0.6,0.5833333333333334,0.5333333333333333,0.3076923076923076,6,P19,bilstm_fusion
0.5,0.5833333333333334,0.6,0.5833333333333334,0.5333333333333333,0.3076923076923076,6,P19,cnn1d_fusion
0.5,0.5833333333333334,0.6,0.5833333333333334,0.5333333333333333,0.3076923076923076,6,P19,tiny_tcn_fusion
0.7142857142857143,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.5952380952380952,0.0,7,P20,Baseline
0.7142857142857143,0.3333333333333333,0.30303030303030304,0.3333333333333333,0.6493506493506492,0.2222222222222221,7,P20,RandomForest
0.8571428571428571,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.7922077922077921,0.611111111111111,7,P20,LogisticRegression
0.7142857142857143,0.3333333333333333,0.30303030303030304,0.3333333333333333,0.6493506493506492,0.2222222222222221,7,P20,XGBoost
0.7142857142857143,0.3333333333333333,0.25,0.25,0.7142857142857143,0.3913043478260869,7,P20,conformer_fusion
0.5714285714285714,0.5333333333333333,0.35416666666666663,0.4,0.630952380952381,0.34375,7,P20,bilstm_fusion
0.5714285714285714,0.5333333333333333,0.35416666666666663,0.4,0.630952380952381,0.34375,7,P20,cnn1d_fusion
0.7142857142857143,0.8666666666666667,0.6041666666666666,0.65,0.7738095238095237,0.5483870967741935,7,P20,tiny_tcn_fusion
0.7142857142857143,0.5,0.4166666666666667,0.5,0.5952380952380952,0.0,7,P24,Baseline
1.0,1.0,1.0,1.0,1.0,1.0,7,P24,RandomForest
1.0,1.0,1.0,1.0,1.0,1.0,7,P24,LogisticRegression
0.8571428571428571,0.75,0.5555555555555555,0.5,0.9047619047619048,0.6818181818181819,7,P24,conformer_fusion
1.0,1.0,1.0,1.0,1.0,1.0,7,P24,bilstm_fusion
1.0,1.0,1.0,1.0,1.0,1.0,7,P24,cnn1d_fusion
1.0,1.0,1.0,1.0,1.0,1.0,7,P24,tiny_tcn_fusion
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P28,Baseline
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P28,RandomForest
0.5714285714285714,0.75,0.5333333333333333,0.75,0.6285714285714287,0.2222222222222221,7,P28,LogisticRegression
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P28,conformer_fusion
0.7142857142857143,0.8333333333333333,0.65,0.8333333333333333,0.7571428571428572,0.36363636363636376,7,P28,bilstm_fusion
