model,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,n_subjects
Baseline,0.6556390977443609,0.14824115909093602,0.4298245614035087,0.3430898049319102,0.10912068318636484,0.4298245614035087,0.528607357554726,0.0,19
LogisticRegression,0.7844611528822055,0.14118815281565947,0.6758771929824562,0.6469880996196785,0.22264050625578696,0.6758771929824562,0.76149617578189,0.43501689005121497,19
RandomForest,0.7556390977443609,0.1882880441842057,0.5738304093567251,0.5457764457764458,0.23839337745704808,0.5738304093567251,0.7075503861218146,0.315865421128579,19
XGBoost,0.6428571428571428,0.3235526525498335,0.4583333333333333,0.42992424242424243,0.2903196103056227,0.4583333333333333,0.5934601113172542,0.3623737373737373,4
bilstm_fusion,0.8007518796992481,0.16575915555870888,0.7391812865497076,0.7010449345975661,0.23842827474450493,0.7321637426900585,0.7894813206843282,0.5314245394193907,19
cnn1d_fusion,0.7994987468671679,0.17447971635870752,0.7508771929824561,0.7237041467304625,0.25349837768155536,0.743859649122807,0.7939460845475883,0.5443318075898167,19
conformer_fusion,0.7844611528822055,0.1109618283470552,0.60453216374269,0.5678809494598968,0.19740667951800467,0.5869883040935672,0.7465838463958764,0.3747884637743725,19
tiny_tcn_fusion,0.8045112781954887,0.18622554565066038,0.75453216374269,0.7239224956330219,0.24635042608114036,0.7431286549707602,0.794216963765836,0.5548931022573982,19
