subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
S10,0.8737864077669902,0.8194444444444444,0.8456128213997464,0.8194444444444444,0.8654623936130319,0.697127346754128
S11,0.7156862745098039,0.6982323232323232,0.6942635658914729,0.6982323232323232,0.7180665754673963,0.38909541511771994
S13,0.9607843137254902,0.9428571428571428,0.9552042160737813,0.9428571428571428,0.9601643028753003,0.9105655414291978
S14,0.9411764705882353,0.9279317697228144,0.9338235294117647,0.9279317697228144,0.9407439446366782,0.867704280155642
S15,0.8712871287128713,0.8194444444444444,0.8443759630200308,0.8194444444444444,0.8629574821888968,0.6948640483383686
S16,0.9191919191919192,0.8823529411764706,0.9043478260869565,0.8823529411764706,0.9161469770165422,0.8101629913710451
S17,0.98,0.984375,0.9785499785499785,0.984375,0.9801115401115402,0.9571183533447685
S2,0.7916666666666666,0.7546897546897546,0.7617866004962779,0.7546897546897546,0.7881513647642681,0.524517087667162
S3,0.9292929292929293,0.9258928571428571,0.9231451702340024,0.9258928571428571,0.9295124921164624,0.8463073852295409
S4,0.8585858585858586,0.803030303030303,0.8257042253521127,0.803030303030303,0.8509389671361502,0.6557377049180328
S5,0.8686868686868687,0.8106060606060606,0.8363636363636364,0.8106060606060606,0.8606060606060606,0.6776859504132231
S6,0.9494949494949495,0.9404977375565611,0.9436025976985303,0.9404977375565611,0.9493108135013115,0.887218045112782
S7,0.8080808080808081,0.7626696832579185,0.7749192293885365,0.7626696832579185,0.8019720962164422,0.5524625267665952
S8,0.85,0.8054945054945055,0.8230923457954947,0.8054945054945055,0.8437905413374218,0.6495327102803738
S9,0.98989898989899,0.9924242424242424,0.988720519539706,0.9924242424242424,0.9899358170977175,0.9774436090225564
