participant,accuracy,f1,precision,recall,auc,n_test,n_stressed,model
1,0.7906976744186046,0.7906976744186046,0.85,0.7391304347826086,0.8577294685990339,129,69,GradientBoosting
2,0.5867768595041323,0.5689655172413793,0.5789473684210527,0.559322033898305,0.6405139420448333,121,59,GradientBoosting
3,0.5590551181102362,0.582089552238806,0.609375,0.5571428571428572,0.6385964912280702,127,70,GradientBoosting
4,0.71875,0.7721518987341772,0.6853932584269663,0.8840579710144928,0.7671333824613117,128,69,GradientBoosting
5,0.712,0.75,0.7012987012987013,0.8059701492537313,0.8265568708183222,125,67,GradientBoosting
6,0.8174603174603174,0.8368794326241135,0.7866666666666666,0.8939393939393939,0.872979797979798,126,66,GradientBoosting
7,0.6230769230769231,0.6423357664233577,0.6567164179104478,0.6285714285714286,0.7023809523809523,130,70,GradientBoosting
8,0.5517241379310345,0.5666666666666667,0.5573770491803278,0.576271186440678,0.5997621171573,116,59,GradientBoosting
9,0.819672131147541,0.8382352941176471,0.8142857142857143,0.8636363636363636,0.8988095238095238,122,66,GradientBoosting
10,0.546875,0.5797101449275363,0.5633802816901409,0.5970149253731343,0.5500367017372155,128,67,GradientBoosting
11,0.7874015748031497,0.8211920529801324,0.7469879518072289,0.9117647058823529,0.8255234297108675,127,68,GradientBoosting
12,0.9612403100775194,0.9629629629629629,0.9848484848484849,0.9420289855072463,0.9876811594202899,129,69,GradientBoosting
13,0.8333333333333334,0.8531468531468531,0.7922077922077922,0.9242424242424242,0.9464646464646465,126,66,GradientBoosting
14,0.875968992248062,0.8904109589041096,0.8441558441558441,0.9420289855072463,0.961352657004831,129,69,GradientBoosting
15,0.9173553719008265,0.9206349206349206,0.90625,0.9354838709677419,0.9745762711864407,121,62,GradientBoosting
16,0.7674418604651163,0.7727272727272727,0.8095238095238095,0.7391304347826086,0.8330917874396135,129,69,GradientBoosting
17,0.7441860465116279,0.7843137254901961,0.7142857142857143,0.8695652173913043,0.847584541062802,129,69,GradientBoosting
18,0.7310924369747899,0.7922077922077922,0.7176470588235294,0.8840579710144928,0.8220289855072463,119,69,GradientBoosting
19,0.6615384615384615,0.6857142857142857,0.676056338028169,0.6956521739130435,0.6999287241625088,130,69,GradientBoosting
20,0.6046511627906976,0.6792452830188679,0.6,0.782608695652174,0.636231884057971,129,69,GradientBoosting
21,0.6226415094339622,0.5555555555555556,0.5681818181818182,0.5434782608695652,0.683695652173913,106,46,GradientBoosting
22,0.8174603174603174,0.8321167883211679,0.8142857142857143,0.8507462686567164,0.8633948899569948,126,67,GradientBoosting
23,0.6589147286821705,0.7066666666666667,0.654320987654321,0.7681159420289855,0.7195652173913043,129,69,GradientBoosting
24,0.4846153846153846,0.5109489051094891,0.5147058823529411,0.5072463768115942,0.5390829175576146,130,69,GradientBoosting
25,0.6640625,0.6766917293233082,0.6923076923076923,0.6617647058823529,0.7044117647058823,128,68,GradientBoosting
